Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Shares (Basic)";"Shares (Diluted)";Revenue;"Cost of Revenue";"Gross Profit";"Operating Expenses";"Selling, General & Administrative";"Research & Development";"Depreciation & Amortization";"Operating Income (Loss)";"Non-Operating Income (Loss)";"Interest Expense, Net";"Pretax Income (Loss), Adj.";"Abnormal Gains (Losses)";"Pretax Income (Loss)";"Income Tax (Expense) Benefit, Net";"Income (Loss) from Continuing Operations";"Net Extraordinary Gains (Losses)";"Net Income";"Net Income (Common)"
GOOG;18;USD;2016;FY;2016-12-31;2017-02-03;687778000;747565000;90272000000;-35138000000;55134000000;-31418000000;-17470000000;-13948000000;;23716000000;434000000;;24150000000;;24150000000;-4672000000;19478000000;0;19478000000;19478000000
GOOG;18;USD;2015;FY;2015-12-31;2016-02-11;684626000;744675000;74989000000;-28164000000;46825000000;-27465000000;-15183000000;-12282000000;;19360000000;291000000;;19651000000;;19651000000;-3303000000;16348000000;0;16348000000;15826000000
GOOG;18;USD;2014;FY;2014-12-31;2015-10-29;675935000;741998000;66001000000;-25691000000;40310000000;-23814000000;-13982000000;-9832000000;;16496000000;763000000;;17259000000;;17259000000;-3639000000;13620000000;516000000;14136000000;14136000000
GOOG;18;USD;2017;FY;2017-12-31;2018-02-06;692901000;750730000;110855000000;-45583000000;65272000000;-36390000000;-19765000000;-16625000000;;28882000000;1047000000;;29929000000;-2736000000;27193000000;-14531000000;12662000000;;12662000000;12662000000
GOOG;18;USD;2018;FY;2018-12-31;2019-02-05;695140000;750149000;136819000000;-59549000000;77270000000;-45878000000;-24459000000;-21419000000;;31392000000;8592000000;;39984000000;-5071000000;34913000000;-4177000000;30736000000;;30736000000;30736000000
FOX;242;USD;2016;FY;2016-06-30;2016-08-11;1943000000;1945000000;27326000000;-17129000000;10197000000;-4205000000;-3675000000;;-530000000;5992000000;-1838000000;-1146000000;4154000000;;4154000000;-1130000000;3024000000;-8000000;2755000000;2755000000
FOX;242;USD;2015;FY;2015-06-30;2015-08-13;2127000000;2130000000;28987000000;-18561000000;10426000000;-4520000000;-3784000000;;-736000000;5906000000;3941000000;-1159000000;9847000000;;9847000000;-1243000000;8604000000;-67000000;8306000000;8306000000
FOX;242;USD;2014;FY;2014-06-30;2014-08-14;2265000000;2269000000;31867000000;-21108000000;10759000000;-5271000000;-4129000000;;-1142000000;5488000000;-299000000;-1095000000;5189000000;;5189000000;-1272000000;3917000000;729000000;4514000000;4514000000
FOX;242;USD;2013;FY;2013-06-30;2013-08-19;2337000000;2341000000;27675000000;-17496000000;10179000000;-4804000000;-4007000000;;-797000000;5375000000;3361000000;-1006000000;8736000000;;8736000000;-1690000000;7046000000;277000000;7097000000;7097000000
FOX;242;USD;2012;FY;2012-06-30;2012-08-14;2499000000;2504000000;25051000000;-15663000000;9388000000;-4430000000;-3719000000;;-711000000;4958000000;-294000000;-955000000;4664000000;-201000000;4463000000;-1094000000;3369000000;-1997000000;1179000000;1179000000
FOX;242;USD;2011;FY;2011-06-30;2011-08-15;2625000000;2633000000;24232000000;-15745000000;8487000000;-4536000000;-3759000000;;-777000000;3951000000;-565000000;-887000000;3386000000;-288000000;3098000000;-673000000;2425000000;443000000;2739000000;2739000000
FOX;242;USD;2010;FY;2010-06-30;2010-09-03;2619000000;2628000000;32778000000;-21015000000;11763000000;-7804000000;-6619000000;;-1185000000;3959000000;-383000000;-900000000;3576000000;-253000000;3323000000;-679000000;2644000000;0;2539000000;2539000000
FOX;242;USD;2009;FY;2009-06-30;2009-11-05;2613000000;2613000000;30423000000;-19563000000;10860000000;-7302000000;-6164000000;;-1138000000;3558000000;111000000;-836000000;3669000000;-9208000000;-5539000000;2229000000;-3310000000;;-3378000000;-3378000000
FOX;242;USD;2017;FY;2017-06-30;2017-08-14;1854000000;1856000000;28500000000;-17775000000;10725000000;-4170000000;-3617000000;;-553000000;6555000000;-1551000000;-1183000000;5004000000;-315000000;4689000000;-1419000000;3270000000;-44000000;2952000000;2952000000
FOX;242;USD;2018;FY;2018-06-30;2018-08-13;1852000000;1857000000;30400000000;-19769000000;10631000000;-4252000000;-3668000000;;-584000000;6379000000;-1897000000;-1209000000;4482000000;-72000000;4410000000;364000000;4774000000;-12000000;4464000000;4464000000
ATVI;243;USD;2016;FY;2016-12-31;2017-02-28;740000000;754000000;6608000000;-2394000000;4214000000;-2802000000;-1844000000;-958000000;;1412000000;-214000000;-214000000;1198000000;-92000000;1106000000;-140000000;966000000;;966000000;966000000
ATVI;243;USD;2015;FY;2015-12-31;2016-02-29;728000000;739000000;4664000000;-1585000000;3079000000;-1760000000;-1114000000;-646000000;;1319000000;-198000000;-198000000;1121000000;0;1121000000;-229000000;892000000;;892000000;892000000
ATVI;243;USD;2014;FY;2014-12-31;2015-02-26;716000000;726000000;4408000000;-1525000000;2883000000;-1700000000;-1129000000;-571000000;;1183000000;-202000000;-202000000;981000000;0;981000000;-146000000;835000000;;835000000;835000000
ATVI;243;USD;2013;FY;2013-12-31;2014-03-03;1024000000;1035000000;4583000000;-1531000000;3052000000;-1680000000;-1096000000;-584000000;;1372000000;-53000000;-53000000;1319000000;;1319000000;-309000000;1010000000;;1010000000;1010000000
ATVI;243;USD;2012;FY;2012-12-31;2013-02-22;1112000000;1118000000;4856000000;-1662000000;3194000000;-1743000000;-1139000000;-604000000;;1451000000;7000000;7000000;1458000000;;1458000000;-309000000;1149000000;;1149000000;1149000000
ATVI;243;USD;2011;FY;2011-12-31;2012-02-28;1148000000;1156000000;4755000000;-1772000000;2983000000;-1630000000;-1001000000;-629000000;;1353000000;3000000;3000000;1356000000;-25000000;1331000000;-246000000;1085000000;;1085000000;1085000000
ATVI;243;USD;2010;FY;2010-12-31;2011-02-25;1222000000;1236000000;4447000000;-2135000000;2312000000;-1517000000;-891000000;-626000000;;795000000;23000000;23000000;818000000;-326000000;492000000;-74000000;418000000;;418000000;418000000
ATVI;243;USD;2009;FY;2009-12-31;2010-03-01;1283000000;1311000000;4279000000;-2307000000;1972000000;-1566000000;-939000000;-627000000;;406000000;18000000;18000000;424000000;-432000000;-8000000;121000000;113000000;;113000000;113000000
ATVI;243;USD;2008;FY;2008-12-31;2009-08-07;946000000;946000000;3026000000;-1839000000;1187000000;-1327000000;-735000000;-592000000;;-140000000;46000000;46000000;-94000000;-93000000;-187000000;80000000;-107000000;;-107000000;-107000000
ATVI;243;USD;2017;FY;2017-12-31;2018-02-27;754000000;766000000;7017000000;-2501000000;4516000000;-3207000000;-2138000000;-1069000000;;1309000000;-146000000;-146000000;1163000000;-12000000;1151000000;-878000000;273000000;;273000000;273000000
ATVI;243;USD;2018;FY;2018-12-31;2019-02-28;762000000;771000000;7500000000;-2517000000;4983000000;-2995000000;-1894000000;-1101000000;;1988000000;-71000000;-71000000;1917000000;-40000000;1877000000;-64000000;1813000000;;1813000000;1813000000
BLK;914;USD;2016;FY;2017-02-28;2016-11-08;164425858;166579752;11155000000;;11155000000;-6509000000;-6376000000;;-133000000;4646000000;-110000000;-165000000;4536000000;-76000000;4460000000;-1290000000;3170000000;;3172000000;3172000000
BLK;914;USD;2015;FY;2016-02-29;2015-11-06;166390009;169038571;11401000000;;11401000000;-6737000000;-6561000000;;-176000000;4664000000;-62000000;-178000000;4602000000;0;4602000000;-1250000000;3352000000;;3345000000;3345000000
BLK;914;USD;2014;FY;2015-02-28;2014-11-07;168225154;171112261;11081000000;;11081000000;-6607000000;-6394000000;;-213000000;4474000000;-79000000;-203000000;4395000000;0;4395000000;-1131000000;3264000000;;3294000000;3294000000
BLK;914;USD;2013;FY;2014-02-28;2013-11-08;170185870;173828902;10180000000;;10180000000;-6323000000;-6110000000;;-213000000;3857000000;116000000;-189000000;3973000000;;3973000000;-1022000000;2951000000;;2932000000;2932000000
BLK;914;USD;2012;FY;2013-02-28;2012-11-08;174961018;178017679;9337000000;;9337000000;-5813000000;-5601000000;;-212000000;3524000000;-54000000;-179000000;3470000000;;3470000000;-1030000000;2440000000;;2458000000;2458000000
BLK;914;USD;2011;FY;2012-02-29;2011-11-09;184265367;187116410;9081000000;;9081000000;-5800000000;-5563000000;;-237000000;3281000000;-114000000;-142000000;3167000000;-32000000;3135000000;-796000000;2339000000;;2337000000;2337000000
BLK;914;USD;2010;FY;2011-02-28;2010-11-08;190554510;192692047;8612000000;;8612000000;-5614000000;-5352000000;;-262000000;2998000000;23000000;-121000000;3021000000;;3021000000;-971000000;2050000000;;2063000000;2063000000
BLK;914;USD;2009;FY;2010-02-28;2009-11-06;136669164;139481449;4700000000;;4700000000;-3400000000;-2676000000;;-247000000;1300000000;-6000000;-48000000;1294000000;-22000000;1272000000;-375000000;897000000;;875000000;875000000
BLK;914;USD;2008;FY;2009-02-28;2009-08-07;129543443;131376517;5064000000;;5064000000;-3433000000;-2662000000;;-276000000;1631000000;-577000000;-4000000;1054000000;-38000000;1016000000;-387000000;629000000;;784000000;784000000
BLK;914;USD;2017;FY;2018-02-28;2018-02-28;162160601;164415035;12491000000;;12491000000;-7219000000;-7113000000;;-106000000;5272000000;5000000;-156000000;5277000000;0;5277000000;-270000000;5007000000;;4970000000;4970000000
BLK;914;USD;2018;FY;2019-02-28;2019-02-28;160301116;161948732;14078000000;;14078000000;-8681000000;-8631000000;;-50000000;5397000000;-79000000;-80000000;5318000000;60000000;5378000000;-1076000000;4302000000;;4305000000;4305000000
ADBE;14099;USD;2016;FY;2016-12-31;2017-01-20;498345000;504299000;5854430000;-819908000;5034522000;-3542428000;-2487907000;-975987000;;1492094000;-58464000;-70442000;1433630000;1508000;1435138000;-266356000;1168782000;;1168782000;1168782000
ADBE;14099;USD;2015;FY;2015-12-31;2016-01-19;498764000;507164000;4795511000;-744317000;4051194000;-3146540000;-2215161000;-862730000;;904654000;-29314000;-64184000;875340000;-1559000;873781000;-244230000;629551000;;629551000;629551000
ADBE;14099;USD;2014;FY;2014-12-31;2015-01-20;497867000;508480000;4147065000;-622080000;3524985000;-3092417000;-2195640000;-844353000;;432568000;-51309000;-59732000;381259000;-19883000;361376000;-92981000;268395000;;268395000;268395000
ADBE;14099;USD;2013;FY;2013-12-31;2014-01-21;501372000;513476000;4055240000;-586557000;3468683000;-3019463000;-2140578000;-826631000;;449220000;-66582000;-67508000;382638000;-26497000;356141000;-66156000;289985000;;289985000;289985000
ADBE;14099;USD;2012;FY;2012-12-31;2013-01-22;494731000;502721000;4403677000;-483782000;3919895000;-2742621000;-1951141000;-742823000;;1177274000;-61397000;-67487000;1115877000;2917000;1118794000;-286019000;832775000;;832775000;832775000
ADBE;14099;USD;2011;FY;2011-12-31;2012-01-26;497469000;503921000;4216258000;-437873000;3778385000;-2581313000;-1800427000;-738053000;;1197072000;-64069000;-66952000;1133003000;-97773000;1035230000;-202383000;832847000;;832847000;832847000
ADBE;14099;USD;2010;FY;2010-12-31;2011-01-27;519045000;525824000;3800000000;-403502000;3396498000;-2380158000;-1627696000;-680332000;;1016340000;-49923000;-56952000;966417000;-23266000;943151000;-168471000;774680000;;774680000;774680000
ADBE;14099;USD;2009;FY;2009-12-31;2010-01-22;524470000;530610000;2945853000;-296732000;2649121000;-1917348000;-1280652000;-565141000;;731773000;11007000;-3407000;742780000;-41260000;701520000;-315012000;386508000;;386508000;386508000
ADBE;14099;USD;2008;FY;2008-12-31;2009-06-26;539373000;548553000;3579889000;-362630000;3217259000;-2156935000;-1426632000;-662057000;;1060324000;50237000;-10019000;1110561000;-32053000;1078508000;-206694000;871814000;;871814000;871814000
ADBE;14099;USD;2017;FY;2017-12-31;2018-01-22;493632000;501123000;7301505000;-1010491000;6291014000;-4122919000;-2822298000;-1224059000;;2168095000;-30454000;-74402000;2137641000;;2137641000;-443687000;1693954000;;1693954000;1693954000
ADBE;14099;USD;2018;FY;2018-12-31;2019-01-25;490564000;497843000;9030008000;-1194999000;7835009000;-4994640000;-3365727000;-1537812000;;2840369000;-46493000;-89242000;2793876000;;2793876000;-203102000;2590774000;;2590774000;2590774000
MMM;22219;USD;2017;FY;2017-12-31;2018-02-08;597500000;612700000;31657000000;-16001000000;15656000000;-8422000000;-6572000000;-1850000000;;7234000000;-272000000;-272000000;6962000000;586000000;7548000000;-2679000000;4869000000;;4858000000;4858000000
MMM;22219;USD;2016;FY;2016-12-31;2016-11-01;604700000;618700000;30109000000;-15040000000;15069000000;-7957000000;-6222000000;-1735000000;;7112000000;-170000000;-170000000;6942000000;111000000;7053000000;-1995000000;5058000000;;5050000000;5050000000
MMM;22219;USD;2015;FY;2015-12-31;2015-10-29;625600000;637200000;30274000000;-15383000000;14891000000;-7992000000;-6229000000;-1763000000;;6899000000;-123000000;-123000000;6776000000;47000000;6823000000;-1982000000;4841000000;;4833000000;4833000000
MMM;22219;USD;2014;FY;2014-12-31;2014-10-30;649200000;662000000;31821000000;-16447000000;15374000000;-8239000000;-6469000000;-1770000000;;7135000000;-109000000;-109000000;7026000000;;7026000000;-2028000000;4998000000;;4956000000;4956000000
MMM;22219;USD;2013;FY;2013-12-31;2013-10-31;681900000;693600000;30871000000;-16106000000;14765000000;-8099000000;-6384000000;-1715000000;;6666000000;-104000000;-104000000;6562000000;;6562000000;-1841000000;4721000000;;4659000000;4659000000
MMM;22219;USD;2012;FY;2012-12-31;2012-11-01;693900000;703300000;29904000000;-15685000000;14219000000;-7736000000;-6102000000;-1634000000;;6483000000;-132000000;-132000000;6351000000;;6351000000;-1840000000;4511000000;;4444000000;4444000000
MMM;22219;USD;2011;FY;2011-12-31;2011-11-03;708500000;719000000;29611000000;-15693000000;13918000000;-7740000000;-6170000000;-1570000000;;6178000000;-147000000;-147000000;6031000000;;6031000000;-1674000000;4357000000;;4283000000;4283000000
MMM;22219;USD;2010;FY;2010-12-31;2010-11-05;713700000;725500000;26662000000;-13831000000;12831000000;-6913000000;-5479000000;-1434000000;;5918000000;-163000000;-163000000;5755000000;;5755000000;-1592000000;4163000000;;4085000000;4085000000
MMM;22219;USD;2009;FY;2009-12-31;2009-10-30;700500000;706700000;23123000000;-12109000000;11014000000;-6200000000;-4907000000;-1293000000;;4814000000;-182000000;-182000000;4632000000;;4632000000;-1388000000;3244000000;;3193000000;3193000000
MMM;22219;USD;2008;FY;2008-12-31;2009-07-31;699200000;707200000;25269000000;-13379000000;11890000000;-6649000000;-5245000000;-1404000000;;5241000000;-110000000;-110000000;5131000000;-23000000;5108000000;-1588000000;3520000000;;3460000000;3460000000
MMM;22219;USD;2018;FY;2018-12-31;2019-02-07;588500000;602000000;32765000000;-16682000000;16083000000;-9423000000;-7602000000;-1821000000;;6660000000;-207000000;-207000000;6453000000;547000000;7000000000;-1637000000;5363000000;;5349000000;5349000000
BRID;33021;USD;2018;FY;2018-11-30;2019-01-18;9076832;;174257000;-117751000;56506000;-49929000;-49929000;;;6577000;;;6577000;6236000;12813000;-6296000;6517000;;6517000;6517000
BRID;33021;USD;2017;FY;2017-11-30;2018-01-12;9076832;;167223000;-105637000;61586000;-48816000;-48816000;;;12770000;;;12770000;58000;12828000;-3999000;8829000;;8829000;8829000
BRID;33021;USD;2016;FY;2016-11-30;2017-01-13;9077606;;140063000;-84850000;55213000;-44377000;-44377000;;;10836000;;;10836000;;10836000;-3066000;7770000;;7770000;7770000
BRID;33021;USD;2015;FY;2015-11-30;2016-01-15;9098742;;130448000;-83579000;46869000;-38751000;-38751000;;;8118000;;;8118000;;8118000;7324000;15442000;;15442000;15442000
BRID;33021;USD;2014;FY;2014-11-30;2015-01-16;9123593;;133401000;-94744000;38657000;-43089000;-43089000;;;-4432000;;;-4432000;;-4432000;88000;-4344000;;-4344000;-4344000
BRID;33021;USD;2013;FY;2013-11-30;2014-01-17;9151939;;129003000;-83566000;45437000;-42352000;-42352000;;;3085000;;;3085000;;3085000;-169000;2916000;;2916000;2916000
BRID;33021;USD;2012;FY;2012-11-30;2013-01-18;9182738;;127355000;-83059000;44296000;-40280000;-40280000;;;4016000;;;4016000;;4016000;-365000;3651000;;3651000;3651000
BRID;33021;USD;2011;FY;2011-11-30;2012-01-17;9277515;;118263000;-80736000;37527000;-38639000;-38639000;;;-1112000;;;-1112000;;-1112000;669000;-443000;;-443000;-443000
BRID;33021;USD;2010;FY;2010-11-30;2011-08-19;9334004;;117655000;-70563000;47092000;-41569000;-41569000;;;5523000;;;5523000;;5523000;-1204000;4319000;;4319000;4319000
NWY;33184;USD;2017;FY;2018-01-31;2018-04-17;63273000;64054000;926868000;-644041000;282827000;-275899000;-275899000;;;6928000;-815000;-815000;6113000;;6113000;-438000;5675000;;5675000;5675000
NWY;33184;USD;2016;FY;2017-01-31;2017-04-12;63356000;63356000;929081000;-665102000;263979000;-279362000;-279362000;;;-15383000;-1235000;-1235000;-16618000;;-16618000;-673000;-17291000;;-17291000;-17291000
NWY;33184;USD;2015;FY;2016-01-31;2016-04-14;63154000;63154000;950108000;-685253000;264855000;-272960000;-272960000;;;-8105000;-1227000;-1227000;-9332000;;-9332000;-737000;-10069000;;-10069000;-10069000
NWY;33184;USD;2014;FY;2015-01-31;2015-04-16;62825000;62825000;923332000;-673557000;249775000;-265371000;-265371000;;;-15596000;-573000;-573000;-16169000;;-16169000;-716000;-16885000;;-16885000;-16885000
NWY;33184;USD;2013;FY;2014-01-31;2014-04-15;62313000;63240000;939163000;-674793000;264370000;-261293000;-261293000;;;3077000;-369000;-369000;2708000;;2708000;-314000;2394000;;2394000;2394000
NWY;33184;USD;2012;FY;2013-01-31;2013-04-16;61516000;62164000;966434000;-701613000;264821000;-262569000;-262569000;;;2252000;-360000;-360000;1892000;;1892000;208000;2100000;;2100000;2100000
NWY;33184;USD;2011;FY;2012-01-31;2012-04-09;60824000;60824000;956456000;-734838000;221618000;-257188000;-257188000;;;-35570000;-495000;-495000;-36065000;-144000;-36209000;-2728000;-38937000;;-38937000;-38937000
NWY;33184;USD;2010;FY;2011-01-31;2011-09-08;59443000;59443000;1021699000;-788378000;233321000;-298419000;-298419000;;;-65098000;-697000;-697000;-65795000;-1281000;-67076000;-9466000;-76542000;81000;-76461000;-76461000
NWY;33184;USD;2018;FY;2019-01-31;2019-04-17;63825000;65913000;893224000;-614212000;279012000;-272541000;-272541000;;;6471000;813000;813000;7284000;-239000;7045000;-2815000;4230000;;4230000;4230000
AMSC;33387;USD;2016;FY;2017-03-31;2016-05-31;13804000;13804000;75195000;-64352000;10843000;-38385000;-25688000;-12540000;;-27542000;-318000;-383000;-27860000;1629000;-26231000;-1142000;-27373000;;-27373000;-27373000
AMSC;33387;USD;2015;FY;2016-03-31;2015-05-28;13178000;13178000;96023000;-74041000;21982000;-41321000;-28861000;-12303000;;-19339000;-3494000;-1037000;-22833000;2085000;-20748000;-2391000;-23139000;;-23139000;-23139000
AMSC;33387;USD;2014;FY;2015-03-31;2014-06-05;8477000;8477000;70530000;-67442000;3088000;-41252000;-29217000;-11878000;;-38164000;-286000;-1882000;-38450000;-10390000;-48840000;184000;-48656000;;-48656000;-48656000
AMSC;33387;USD;2013;FY;2014-03-31;2013-06-14;6262000;6262000;87419000;-71937000;15482000;-65301000;-49652000;-15325000;;-49819000;-16210000;-14948000;-66029000;-366000;-66395000;264000;-66131000;;-66131000;-66131000
AMSC;33387;USD;2012;FY;2013-03-31;2011-09-23;5307000;5307000;76543000;-82882000;-6339000;-100361000;-72118000;-27271000;;-106700000;981000;243000;-105719000;-29739000;-135458000;-1369000;-136827000;;-136827000;-136827000
AMSC;33387;USD;2011;FY;2012-03-31;2011-09-23;5084200;5084200;286603000;-308183000;-21580000;-106448000;-72382000;-32517000;;-128028000;7652000;830000;-120376000;-49955000;-170331000;-15953000;-186284000;;-186284000;-186284000
AMSC;33387;USD;2010;FY;2011-03-31;2010-08-05;4710300;4710300;315955000;-200977000;114978000;-75866000;-50446000;-23593000;;39112000;-1905000;788000;37207000;-451000;36756000;-20508000;16248000;;16248000;16248000
AMSC;33387;USD;2017;FY;2018-03-31;2018-06-06;18967000;18967000;48403000;-44608000;3795000;-34354000;-22577000;-11594000;;-30559000;-2653000;147000;-33212000;275000;-32937000;161000;-32776000;;-32776000;-32776000
AMSC;33387;USD;2018;FY;2019-03-31;2019-06-05;20335000;20726000;56207000;-42190000;14017000;-32242000;-22028000;-9874000;;-18225000;2716000;1117000;-15509000;48650000;33141000;-6380000;26761000;;26761000;26761000
ACAT;33956;USD;2015;FY;2016-03-31;2016-05-27;12995000;12995000;632895000;-542228000;90667000;-106881000;-79719000;-27162000;;-16214000;-833000;-833000;-17047000;;-17047000;7860000;-9187000;;-9187000;-9187000
ACAT;33956;USD;2014;FY;2015-03-31;2015-05-29;12926000;13089000;698756000;-579307000;119449000;-112911000;-88570000;-24341000;;6538000;-328000;-328000;6210000;;6210000;-1290000;4920000;;4920000;4920000
ACAT;33956;USD;2013;FY;2014-03-31;2014-05-30;13275000;13598000;730491000;-579412000;151079000;-90583000;-66585000;-23998000;;60496000;-92000;-92000;60404000;;60404000;-21000000;39404000;;39404000;39404000
ACAT;33956;USD;2012;FY;2013-03-31;2013-06-14;13155000;13761000;671588000;-520692000;150896000;-90182000;-69489000;-20693000;;60714000;-35000;-35000;60679000;;60679000;-20934000;39745000;;39745000;39745000
ACAT;33956;USD;2011;FY;2012-03-31;2012-06-08;16721000;17458000;585268000;-454649000;130619000;-84729000;-66867000;-17862000;;45890000;78000;78000;45968000;;45968000;-16027000;29941000;;29941000;29941000
ACAT;33956;USD;2010;FY;2011-03-31;2011-08-09;18232000;18539000;464651000;-363142000;101509000;-83374000;-68345000;-15029000;;18135000;96000;96000;18231000;;18231000;-5224000;13007000;;13007000;13007000
APIC;34899;USD;2015;FY;2015-07-31;2015-10-14;10651000;;68607000;-24991000;43616000;-93090000;-62703000;-30387000;;-49474000;-452000;;-49926000;;-49926000;-427000;-50353000;;-50353000;-50353000
APIC;34899;USD;2014;FY;2014-07-31;2015-06-11;3413000;;52702000;-27708000;24994000;-83717000;-61444000;-22273000;;-58723000;-1678000;;-60401000;;-60401000;-392000;-60793000;;-60793000;-60793000
LABL;35331;USD;2017;FY;2018-03-31;2018-05-30;18421000;18583000;1300912000;-1054312000;246600000;-131020000;-129601000;;;115580000;-61878000;-54027000;53702000;;53702000;18195000;71897000;;71951000;71951000
LABL;35331;USD;2016;FY;2017-03-31;2016-05-31;16879000;17024000;923295000;-726486000;196809000;-85843000;-84922000;;;110966000;-22753000;-25488000;88213000;;88213000;-26848000;61365000;;60996000;60996000
LABL;35331;USD;2015;FY;2016-03-31;2015-06-12;16750000;16952000;870825000;-689199000;181626000;-87198000;-81998000;;;94428000;-27618000;-25751000;66810000;;66810000;-18981000;47829000;;47739000;47739000
LABL;35331;USD;2014;FY;2015-03-31;2014-06-13;16623000;16877000;810772000;-637498000;173274000;-75411000;-68012000;;;97863000;-26040000;-26386000;71823000;-951000;70872000;-25156000;45716000;;45716000;45716000
LABL;35331;USD;2013;FY;2014-03-31;2013-06-14;16342000;16599000;659815000;-533464000;126351000;-55646000;-54115000;;;70705000;-22018000;-22237000;48687000;;48687000;-18387000;30300000;;30300000;30300000
LABL;35331;USD;2012;FY;2013-03-31;2012-06-14;16145000;16332000;510247000;-411963000;98284000;-52733000;-51551000;;;45551000;-14427000;-15010000;31124000;;31124000;-11456000;19668000;;19700000;19700000
LABL;35331;USD;2011;FY;2012-03-31;2011-08-09;14662000;14903000;338284000;-270306000;67978000;-32918000;-33176000;;;35060000;-6811000;-7021000;28249000;-2800000;25449000;-7038000;18411000;;18411000;18411000
LABL;35331;USD;2018;FY;2019-03-31;2019-05-28;20468000;20468000;1725554000;-1403634000;321920000;-161421000;-160710000;;;160499000;-77679000;-75399000;82820000;-99155000;-16335000;-12332000;-28667000;;-29041000;-29041000
ASNA;35533;USD;2018;FY;2018-07-31;2018-09-24;196000000;196000000;6578300000;-2786800000;3791500000;-2392200000;-2036700000;;-355500000;1399300000;-110800000;-113000000;1288500000;-1370000000;-81500000;41800000;-39700000;;-39700000;-39700000
ASNA;35533;USD;2017;FY;2017-07-31;2017-09-25;194800000;194800000;6649800000;-2790200000;3859600000;-2453400000;-2068500000;;-384900000;1406200000;-100400000;-102200000;1305800000;-2720000000;-1414200000;346900000;-1067300000;;-1067300000;-1067300000
ASNA;35533;USD;2016;FY;2016-07-31;2016-09-19;192200000;192200000;6995400000;-3066700000;3928700000;-2471000000;-2112300000;;-358700000;1457700000;-102900000;-103300000;1354800000;-1363100000;-8300000;-3600000;-11900000;;-11900000;-11900000
ASNA;35533;USD;2015;FY;2015-07-31;2015-09-16;162600000;162600000;4802900000;-2133700000;2669200000;-1709100000;-1490900000;;-218200000;960100000;-5700000;-6000000;954400000;-1195000000;-240600000;3800000;-236800000;;-236800000;-236800000
ASNA;35533;USD;2014;FY;2014-07-31;2014-09-23;160600000;165100000;4790600000;-2130600000;2660000000;-1569900000;-1376300000;;-193600000;1090100000;-7300000;-6500000;1082800000;-879300000;203500000;-65300000;138200000;-4800000;133400000;133400000
ASNA;35533;USD;2013;FY;2013-07-31;2013-09-24;157300000;163300000;4714900000;-2137700000;2577200000;-1506800000;-1330800000;;-176000000;1070400000;-13400000;-13800000;1057000000;-814400000;242600000;-87400000;155200000;-3900000;151300000;151300000
ASNA;35533;USD;2012;FY;2012-07-31;2012-09-26;153500000;159400000;3353300000;-1505800000;1847500000;-1006200000;-898800000;;-107400000;841300000;400000;-4300000;841700000;-562700000;279000000;-107200000;171800000;-9600000;162200000;162200000
ASNA;35533;USD;2011;FY;2011-07-31;2011-09-28;156100000;161800000;2914000000;-1260800000;1653200000;-880000000;-790200000;;-89800000;773200000;-1400000;-2500000;771800000;-487400000;284400000;-113900000;170500000;0;170500000;170500000
ASNA;35533;USD;2010;FY;2010-07-31;2011-03-10;144400000;154000000;2374600000;-1036700000;1337900000;-721900000;-650300000;;-71600000;616000000;-2300000;-6600000;613700000;-404300000;209400000;-76000000;133400000;;133400000;133400000
ASNA;35533;USD;2019;FY;2019-07-31;2019-10-10;197500000;197500000;5493400000;-2432100000;3061300000;-2083600000;-1783700000;;-299900000;977700000;-103600000;-107000000;874100000;-1670900000;-796800000;14500000;-782300000;120900000;-661400000;-661400000
ENS;35886;USD;2016;FY;2017-03-31;2016-05-31;44276713;45474130;2367149000;-1714367000;652782000;-369863000;;;;282919000;-23166000;-22197000;259753000;-47058000;212695000;-54472000;158223000;;160214000;160214000
ENS;35886;USD;2017;FY;2018-03-31;2018-05-30;42612036;43119856;2581891000;-1921494000;660397000;-382077000;;;;278320000;-31056000;-25001000;247264000;-8938000;238326000;-118493000;119833000;;119594000;119594000
ABAX;36105;USD;2016;FY;2017-03-31;2016-05-31;22661000;22883000;218901000;-95649000;123252000;-76898000;-58510000;-18388000;;46354000;793000;793000;47147000;;47147000;-16073000;31074000;556000;31630000;31630000
ABAX;36105;USD;2015;FY;2016-03-31;2015-06-01;22497000;22787000;202593000;-93623000;108970000;-74666000;-58339000;-16327000;;34304000;-1262000;-1262000;33042000;;33042000;-12239000;20803000;6528000;27331000;27331000
ABAX;36105;USD;2014;FY;2015-03-31;2014-05-30;22270000;22575000;162031000;-78081000;83950000;-59722000;-46075000;-13647000;;24228000;994000;994000;25222000;;25222000;-8993000;16229000;-2044000;14185000;14185000
ABAX;36105;USD;2013;FY;2014-03-31;2013-06-14;21946000;22381000;180878000;-79903000;100975000;-70202000;-56625000;-13577000;;30773000;253000;253000;31026000;17250000;48276000;-17149000;31127000;-3668000;27459000;27459000
ABAX;36105;USD;2012;FY;2013-03-31;2012-06-14;22084000;22462000;156596000;-71493000;85103000;-65646000;-53400000;-12246000;;19457000;710000;710000;20167000;0;20167000;-7076000;13091000;;13091000;13091000
