Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Non-Cash Items";"Change in Working Capital";"Change in Accounts Receivable";"Change in Inventories";"Change in Accounts Payable";"Change in Other";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Long Term Investment";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Net Change in Cash"
GOOG;18;USD;2016;FY;2016-12-31;2017-02-03;687778000;747565000;19478000000;5267000000;7991000000;3300000000;-2578000000;;110000000;5768000000;36036000000;-9972000000;-18723000000;-986000000;-31165000000;;-1335000000;-3693000000;-8332000000;-3631000000
GOOG;18;USD;2015;FY;2015-12-31;2016-02-11;684626000;744675000;16348000000;4132000000;6501000000;-409000000;-2094000000;;203000000;1482000000;26572000000;-9915000000;-13789000000;-236000000;-23711000000;;-23000000;-1780000000;-4225000000;-1798000000
GOOG;18;USD;2014;FY;2014-12-31;2015-10-29;675935000;741998000;14136000000;3523000000;4693000000;672000000;-1641000000;;436000000;1877000000;23024000000;-10959000000;-6435000000;-4502000000;-21055000000;;-18000000;0;-2087000000;-551000000
GOOG;18;USD;2017;FY;2017-12-31;2018-02-06;692901000;750730000;12662000000;6103000000;9080000000;9246000000;-3768000000;;731000000;12283000000;37091000000;-13085000000;-19981000000;-287000000;-32820000000;;-86000000;-4846000000;-6879000000;-2203000000
GOOG;18;USD;2018;FY;2018-12-31;2019-02-05;695140000;750149000;30736000000;8164000000;4163000000;4908000000;-2169000000;;1067000000;6010000000;47971000000;-25041000000;-3724000000;-1491000000;-28504000000;;-61000000;-9075000000;-13179000000;5986000000
FOX;242;USD;2016;FY;2016-06-30;2016-08-11;1943000000;1945000000;3024000000;530000000;1360000000;-1866000000;-1060000000;-806000000;;;3048000000;-263000000;-459000000;-916000000;-1638000000;-821000000;673000000;-4892000000;-5330000000;-4004000000
FOX;242;USD;2015;FY;2015-06-30;2015-08-13;2127000000;2130000000;8604000000;736000000;-4414000000;-1309000000;-261000000;-825000000;-223000000;;3617000000;-424000000;-1325000000;-142000000;6736000000;-878000000;316000000;-5888000000;-7102000000;3013000000
FOX;242;USD;2014;FY;2014-06-30;2014-08-14;2265000000;2269000000;3917000000;1142000000;-263000000;-1832000000;-846000000;-905000000;-81000000;;2964000000;-678000000;-83000000;-692000000;-935000000;-802000000;859000000;-3706000000;-3776000000;-1244000000
FOX;242;USD;2013;FY;2013-06-30;2013-08-19;2337000000;2341000000;7046000000;797000000;-3282000000;-1559000000;-127000000;-1154000000;-278000000;;3002000000;-622000000;-654000000;-606000000;86000000;-613000000;523000000;-1823000000;-4571000000;-2967000000
FOX;242;USD;2012;FY;2012-06-30;2012-08-14;2499000000;2504000000;3369000000;711000000;-91000000;-1155000000;-734000000;-393000000;-28000000;;2834000000;-564000000;-156000000;-450000000;-766000000;-580000000;-35000000;-4422000000;-5102000000;-3054000000
FOX;242;USD;2011;FY;2011-06-30;2011-08-15;2625000000;2633000000;2425000000;777000000;190000000;-354000000;248000000;-614000000;12000000;;3038000000;-622000000;-642000000;-434000000;-1369000000;-490000000;1914000000;12000000;1383000000;3971000000
FOX;242;USD;2010;FY;2010-06-30;2010-09-03;2619000000;2628000000;2644000000;1185000000;65000000;-40000000;-282000000;-110000000;352000000;;3854000000;-914000000;-513000000;-143000000;-313000000;-418000000;-1053000000;24000000;-1445000000;2169000000
FOX;242;USD;2009;FY;2009-06-30;2009-11-05;2613000000;2613000000;-3310000000;1138000000;6628000000;-2208000000;194000000;-485000000;-1917000000;;2248000000;-1101000000;-479000000;-809000000;-627000000;-366000000;697000000;4000000;315000000;1878000000
FOX;242;USD;2017;FY;2017-06-30;2017-08-14;1854000000;1856000000;3270000000;553000000;1149000000;-1187000000;-401000000;-991000000;152000000;53000000;3785000000;-377000000;-300000000;-75000000;-752000000;-943000000;345000000;-619000000;-1281000000;1739000000
FOX;242;USD;2018;FY;2018-06-30;2018-08-13;1852000000;1857000000;4774000000;584000000;365000000;-1496000000;-801000000;-422000000;401000000;-674000000;4227000000;-551000000;-984000000;-7000000;-1177000000;-993000000;-403000000;0;-1464000000;1459000000
ATVI;243;USD;2016;FY;2016-12-31;2017-02-28;740000000;754000000;966000000;829000000;618000000;-258000000;84000000;32000000;-50000000;-324000000;2155000000;-136000000;0;-4588000000;-1177000000;-195000000;774000000;106000000;500000000;1422000000
ATVI;243;USD;2015;FY;2015-12-31;2016-02-29;728000000;739000000;892000000;95000000;514000000;-242000000;-40000000;-54000000;-25000000;-123000000;1259000000;-111000000;0;-46000000;-3716000000;-170000000;-250000000;106000000;-202000000;-3025000000
ATVI;243;USD;2014;FY;2014-12-31;2015-02-26;716000000;726000000;835000000;90000000;363000000;43000000;-177000000;-2000000;-12000000;234000000;1331000000;-107000000;21000000;0;-84000000;-147000000;-375000000;175000000;-413000000;438000000
ATVI;243;USD;2013;FY;2013-12-31;2014-03-03;1024000000;1035000000;1010000000;108000000;481000000;-335000000;198000000;6000000;7000000;-546000000;1264000000;-74000000;376000000;0;308000000;-216000000;4744000000;-5672000000;-1223000000;451000000
ATVI;243;USD;2012;FY;2012-12-31;2013-02-22;1112000000;1118000000;1149000000;120000000;333000000;-257000000;-46000000;-75000000;-54000000;-82000000;1345000000;-73000000;-49000000;;-124000000;-204000000;0;-282000000;-497000000;794000000
ATVI;243;USD;2011;FY;2011-12-31;2012-02-28;1148000000;1156000000;1085000000;148000000;465000000;-746000000;13000000;-42000000;31000000;-748000000;952000000;-72000000;333000000;;266000000;-194000000;0;-623000000;-808000000;353000000
ATVI;243;USD;2010;FY;2010-12-31;2011-02-25;1222000000;1236000000;418000000;198000000;477000000;283000000;43000000;124000000;70000000;46000000;1376000000;-97000000;-281000000;;-312000000;-189000000;;-878000000;-1053000000;44000000
ATVI;243;USD;2009;FY;2009-12-31;2010-03-01;1283000000;1311000000;113000000;347000000;513000000;210000000;235000000;21000000;-18000000;-28000000;1183000000;-69000000;-379000000;;-443000000;0;;-1028000000;-949000000;-190000000
ATVI;243;USD;2008;FY;2008-12-31;2009-08-07;946000000;946000000;-107000000;385000000;-150000000;251000000;-428000000;-20000000;86000000;613000000;379000000;-37000000;0;1120000000;1101000000;0;;1625000000;1488000000;2896000000
ATVI;243;USD;2017;FY;2017-12-31;2018-02-27;754000000;766000000;273000000;888000000;391000000;661000000;-165000000;-26000000;85000000;767000000;2213000000;-155000000;-55000000;0;-197000000;-226000000;-510000000;178000000;-624000000;1468000000
ATVI;243;USD;2018;FY;2018-12-31;2019-02-28;762000000;771000000;1813000000;509000000;771000000;-1303000000;-114000000;-5000000;-65000000;-1119000000;1790000000;-131000000;-93000000;0;-230000000;-259000000;-1740000000;99000000;-2020000000;-491000000
BLK;914;USD;2016;FY;2017-02-28;2016-11-08;164425858;166579752;3170000000;229000000;-492000000;-753000000;-86000000;;;-667000000;2154000000;-119000000;1000000;-30000000;-188000000;-1545000000;0;-1373000000;-1685000000;8000000
BLK;914;USD;2015;FY;2016-02-29;2015-11-06;166390009;169038571;3352000000;247000000;-53000000;-542000000;-154000000;;;-388000000;3004000000;-221000000;126000000;-273000000;-465000000;-1476000000;37000000;-1205000000;-2064000000;360000000
BLK;914;USD;2014;FY;2015-02-28;2014-11-07;168225154;171112261;3264000000;278000000;-141000000;-314000000;78000000;;;-392000000;3087000000;-66000000;285000000;0;239000000;-1338000000;-3000000;-1340000000;-1861000000;1333000000
BLK;914;USD;2013;FY;2014-02-28;2013-11-08;170185870;173828902;2951000000;291000000;406000000;-6000000;14000000;;;-20000000;3642000000;-94000000;-126000000;-298000000;-483000000;-1168000000;-850000000;-1215000000;-3392000000;-216000000
BLK;914;USD;2012;FY;2013-02-28;2012-11-08;174961018;178017679;2440000000;295000000;64000000;-559000000;-292000000;;;-267000000;2240000000;-150000000;293000000;-267000000;-266000000;-1060000000;995000000;-1598000000;-944000000;1100000000
BLK;914;USD;2011;FY;2012-02-29;2011-11-09;184265367;187116410;2339000000;299000000;571000000;-383000000;124000000;;;-507000000;2826000000;-247000000;9000000;;-204000000;-1014000000;1429000000;-2864000000;-2485000000;139000000
BLK;914;USD;2010;FY;2011-02-28;2010-11-08;190554510;192692047;2050000000;310000000;422000000;-294000000;-364000000;;;70000000;2488000000;-131000000;-475000000;-23000000;-627000000;-776000000;-2310000000;-248000000;-3170000000;-1341000000
BLK;914;USD;2009;FY;2010-02-28;2009-11-06;136669164;139481449;897000000;239000000;543000000;-280000000;-223000000;;;-57000000;1399000000;-65000000;187000000;-5755000000;-5519000000;-422000000;4592000000;2776000000;6749000000;2676000000
BLK;914;USD;2008;FY;2009-02-28;2009-08-07;129543443;131376517;629000000;236000000;940000000;111000000;339000000;;;-228000000;1916000000;-36000000;-295000000;-16000000;-394000000;-419000000;-304000000;-16000000;-887000000;376000000
BLK;914;USD;2017;FY;2018-02-28;2018-02-28;162160601;164415035;5007000000;240000000;-1267000000;-152000000;-521000000;;;369000000;3828000000;-155000000;-323000000;-102000000;-587000000;-1662000000;-3000000;-1421000000;-2630000000;803000000
BLK;914;USD;2018;FY;2019-02-28;2019-02-28;160301116;161948732;4302000000;220000000;-1289000000;-158000000;4000000;;;-162000000;3075000000;-204000000;122000000;-699000000;-808000000;-1968000000;40000000;-2087000000;-2765000000;-591000000
ADBE;14099;USD;2016;FY;2016-12-31;2017-01-20;498345000;504299000;1168782000;331535000;379298000;320113000;;;;;2199728000;-203805000;5777000;-48427000;-960033000;;-108000;-929303000;-1090706000;134755000
ADBE;14099;USD;2015;FY;2015-12-31;2016-01-19;498764000;507164000;629551000;339473000;236773000;263705000;;;;;1469502000;-127157000;4149000;-826004000;-1488358000;;387091000;-460730000;-200687000;-240840000
ADBE;14099;USD;2014;FY;2014-12-31;2015-01-20;497867000;508480000;268395000;313590000;309417000;396080000;;;;;1287482000;-148332000;3532000;-29802000;-490707000;;-14684000;-372159000;-507283000;282844000
ADBE;14099;USD;2013;FY;2013-12-31;2014-01-21;501372000;513476000;289985000;321227000;377832000;162642000;;;;;1151686000;-164098000;6233000;-704589000;-1177803000;;-176000;-501806000;-559138000;-590496000
ADBE;14099;USD;2012;FY;2012-12-31;2013-01-22;494731000;502721000;832775000;299766000;356631000;10408000;;;;;1499580000;-271076000;29031000;-353195000;-834662000;;-6703000;-169749000;-234723000;435552000
ADBE;14099;USD;2011;FY;2011-12-31;2012-01-26;497469000;503921000;832847000;270205000;362552000;77710000;;;;;1543314000;-210294000;4415000;-259046000;-757402000;;-10046000;-550261000;-550358000;239609000
ADBE;14099;USD;2010;FY;2010-12-31;2011-01-27;519045000;525824000;774680000;292738000;68213000;-22636000;;;;;1112995000;-137491000;22502000;-193281000;-1159294000;;489720000;-710750000;-215262000;-249596000
ADBE;14099;USD;2009;FY;2009-12-31;2010-01-22;524470000;530610000;386508000;282423000;264510000;184353000;;;;;1117794000;-119592000;17696000;-1582669000;-1497096000;;636103000;-170447000;477636000;113037000
ADBE;14099;USD;2008;FY;2008-12-31;2009-06-26;539373000;548553000;871814000;270269000;264842000;-126243000;;;;;1280682000;-111792000;30747000;-3584000;-304681000;;350000000;-1403550000;-1021567000;-59972000
ADBE;14099;USD;2017;FY;2017-12-31;2018-01-22;493632000;501123000;1693954000;325997000;502187000;390715000;;;;;2912853000;-178122000;2134000;-459626000;-442877000;;-1960000;-941649000;-1183735000;1294757000
ADBE;14099;USD;2018;FY;2018-12-31;2019-01-25;490564000;497843000;2590774000;346492000;148612000;943426000;;;;;4029304000;-261656000;;-6314382000;-4685295000;;2246635000;-1859010000;-5568000;-663297000
MMM;22219;USD;2017;FY;2017-12-31;2018-02-08;597500000;612700000;4869000000;1544000000;-789000000;616000000;-245000000;-387000000;24000000;1224000000;6240000000;-1324000000;-798000000;-958000000;-3086000000;-2803000000;1603000000;-1334000000;-2655000000;655000000
MMM;22219;USD;2016;FY;2016-12-31;2016-11-01;604700000;618700000;5058000000;1474000000;62000000;68000000;-313000000;57000000;148000000;176000000;6662000000;-1362000000;-163000000;126000000;-1403000000;-2678000000;1043000000;-2949000000;-4626000000;600000000
MMM;22219;USD;2015;FY;2015-12-31;2015-10-29;625600000;637200000;4841000000;1435000000;759000000;-615000000;-58000000;3000000;9000000;-569000000;6420000000;-1428000000;1300000000;-2791000000;-2817000000;-2561000000;3482000000;-4603000000;-3648000000;-99000000
MMM;22219;USD;2014;FY;2014-12-31;2014-10-30;649200000;662000000;4998000000;1408000000;143000000;77000000;-268000000;-113000000;75000000;383000000;6626000000;-1358000000;754000000;-94000000;-596000000;-2216000000;1010000000;-4684000000;-6603000000;-684000000
MMM;22219;USD;2013;FY;2013-12-31;2013-10-31;681900000;693600000;4721000000;1371000000;52000000;-327000000;-337000000;-86000000;16000000;80000000;5817000000;-1537000000;627000000;8000000;-856000000;-1730000000;-37000000;-3603000000;-5246000000;-302000000
MMM;22219;USD;2012;FY;2012-12-31;2012-11-01;693900000;703300000;4511000000;1288000000;-302000000;-197000000;-133000000;-251000000;72000000;115000000;5300000000;-1443000000;-211000000;-1046000000;-2686000000;-1635000000;722000000;-1192000000;-2058000000;664000000
MMM;22219;USD;2011;FY;2011-12-31;2011-11-03;708500000;719000000;4357000000;1236000000;359000000;-668000000;-205000000;-196000000;-83000000;-184000000;5284000000;-1324000000;-745000000;-649000000;-2718000000;-1555000000;-307000000;-1799000000;-3675000000;-1158000000
MMM;22219;USD;2010;FY;2010-12-31;2010-11-05;713700000;725500000;4163000000;1120000000;-196000000;87000000;-189000000;-404000000;146000000;534000000;5174000000;-1066000000;273000000;-1830000000;-2626000000;-1500000000;-472000000;-188000000;-2184000000;337000000
MMM;22219;USD;2009;FY;2009-12-31;2009-10-30;700500000;706700000;3244000000;1157000000;399000000;141000000;55000000;453000000;109000000;-476000000;4941000000;-829000000;-839000000;-69000000;-1732000000;-1431000000;-1014000000;414000000;-2014000000;1191000000
MMM;22219;USD;2008;FY;2008-12-31;2009-07-31;699200000;707200000;3520000000;1153000000;87000000;-227000000;197000000;-127000000;-224000000;-73000000;4533000000;-1384000000;291000000;-1306000000;-2399000000;-1398000000;1037000000;-1342000000;-1766000000;-47000000
MMM;22219;USD;2018;FY;2018-12-31;2019-02-07;588500000;602000000;5363000000;1488000000;-260000000;-152000000;-305000000;-509000000;408000000;254000000;6439000000;-1315000000;669000000;859000000;222000000;-3193000000;933000000;-4385000000;-6701000000;-200000000
BRID;33021;USD;2018;FY;2018-11-30;2019-01-18;9076832;;6517000;3940000;-1202000;-990000;;;;;8265000;-12112000;;;-12112000;;-83000;;-83000;-3930000
BRID;33021;USD;2017;FY;2017-11-30;2018-01-12;9076832;;8829000;3366000;-891000;5465000;;;;;16769000;-11516000;;;-11516000;;-129000;;-129000;5124000
BRID;33021;USD;2016;FY;2016-11-30;2017-01-13;9077606;;7770000;3043000;-241000;-6045000;;;;;4527000;-3241000;;;-3241000;;-103000;-40000;-143000;1143000
BRID;33021;USD;2015;FY;2015-11-30;2016-01-15;9098742;;15442000;3050000;-5055000;-5977000;;;;;7460000;-1352000;;;-1352000;;-175000;-283000;-458000;5650000
BRID;33021;USD;2014;FY;2014-11-30;2015-01-16;9123593;;-4344000;2827000;-2806000;302000;;;;;-4021000;-3714000;;;-3714000;0;-214000;-184000;-398000;-8133000
BRID;33021;USD;2013;FY;2013-11-30;2014-01-17;9151939;;2916000;2236000;-66000;-1326000;;;;;3760000;-4306000;;;-4306000;-458000;-206000;-209000;-873000;-1419000
BRID;33021;USD;2012;FY;2012-11-30;2013-01-18;9182738;;3651000;1716000;-22000;-3503000;;;;;1842000;-1018000;;;-1018000;;-83000;-321000;-404000;420000
BRID;33021;USD;2011;FY;2011-11-30;2012-01-17;9277515;;-443000;1802000;-15000;-3664000;;;;;-2320000;-1798000;;;-1798000;-932000;;-1312000;-2244000;-6362000
BRID;33021;USD;2010;FY;2010-11-30;2011-08-19;9334004;;4319000;2168000;-31000;-1742000;;;;;4714000;-1729000;;;-1729000;-933000;;-277000;-1210000;1775000
NWY;33184;USD;2017;FY;2018-01-31;2018-04-17;63273000;64054000;5675000;19483000;3409000;-9635000;;;;;18932000;-12530000;;;-12706000;;-2676000;-623000;-3687000;2539000
NWY;33184;USD;2016;FY;2017-01-31;2017-04-12;63356000;63356000;-17291000;22786000;4790000;38475000;;;;;48760000;-18308000;;;-18308000;;-2245000;-958000;-3515000;26937000
NWY;33184;USD;2015;FY;2016-01-31;2016-04-14;63154000;63154000;-10069000;24181000;5904000;633000;;;;;20649000;-26648000;;;-26502000;;-1566000;16000;-2008000;-7861000
NWY;33184;USD;2014;FY;2015-01-31;2015-04-16;62825000;62825000;-16885000;27315000;3622000;-2052000;;;;;12000000;-26781000;;;-26527000;;14648000;299000;14097000;-430000
NWY;33184;USD;2013;FY;2014-01-31;2014-04-15;62313000;63240000;2394000;32719000;4509000;-11734000;;;;;27888000;-18836000;;;-18836000;;;510000;-262000;8790000
NWY;33184;USD;2012;FY;2013-01-31;2013-04-16;61516000;62164000;2100000;34909000;4544000;-14173000;;;;;27380000;-18144000;;;-17329000;;;95000;95000;10146000
NWY;33184;USD;2011;FY;2012-01-31;2012-04-09;60824000;60824000;-38937000;38418000;7085000;-15120000;;;;;-8554000;-12158000;;;-12158000;;-7500000;2202000;-5893000;-26605000
NWY;33184;USD;2010;FY;2011-01-31;2011-09-08;59443000;59443000;-76542000;41090000;36836000;9419000;;;;;10803000;-14759000;;;-14759000;;-6000000;95000;-5948000;-9904000
NWY;33184;USD;2018;FY;2019-01-31;2019-04-17;63825000;65913000;4230000;21356000;4228000;-2742000;;;;;27072000;-8527000;;;-8152000;;-13744000;38000;-14286000;4634000
AMSC;33387;USD;2016;FY;2017-03-31;2016-05-31;13804000;13804000;-27373000;7519000;2094000;6545000;;;;;-11215000;-627000;;325000;192000;;-3167000;2527000;-1130000;-12546000
AMSC;33387;USD;2015;FY;2016-03-31;2015-05-28;13178000;13178000;-23139000;7972000;6309000;4299000;;;;;-4559000;-1154000;;3092000;4873000;;18282000;30000;18202000;18840000
AMSC;33387;USD;2014;FY;2015-03-31;2014-06-05;8477000;8477000;-48656000;9554000;3476000;2950000;;;;;-32676000;-719000;;0;1809000;;3221000;5963000;8783000;-22624000
AMSC;33387;USD;2013;FY;2014-03-31;2013-06-14;6262000;6262000;-66131000;13054000;18014000;-10208000;;;;;-45271000;-1294000;5276000;;7353000;;30972000;291000;31221000;-7036000
AMSC;33387;USD;2012;FY;2013-03-31;2011-09-23;5307000;5307000;-136827000;15455000;46081000;-65751000;;;;;-141042000;-15122000;110117000;-1800000;63337000;;0;328000;57000;-77504000
AMSC;33387;USD;2011;FY;2012-03-31;2011-09-23;5084200;5084200;-186284000;11300000;177978000;-25815000;;;;;-22821000;-43376000;-53075000;-9765000;-104833000;;155240000;7818000;163058000;36189000
AMSC;33387;USD;2010;FY;2011-03-31;2010-08-05;4710300;4710300;16248000;9789000;11547000;3096000;;;;;40680000;-18057000;-22593000;-848000;-39996000;;;19003000;19003000;16920000
AMSC;33387;USD;2017;FY;2018-03-31;2018-06-06;18967000;18967000;-32776000;11459000;2054000;-5564000;;;;;-24827000;14376000;;1241000;16397000;;15377000;175000;15278000;7300000
AMSC;33387;USD;2018;FY;2019-03-31;2019-06-05;20335000;20726000;26761000;4609000;7165000;4179000;;;;;42714000;2186000;;127000;2169000;;0;157000;-299000;43949000
ACAT;33956;USD;2015;FY;2016-03-31;2016-05-27;12995000;12995000;-9187000;19767000;10310000;-1767000;;;;;19123000;-37964000;;;-37966000;-4917000;0;446000;-4698000;-22523000
ACAT;33956;USD;2014;FY;2015-03-31;2015-05-29;12926000;13089000;4920000;15509000;5627000;33645000;;;;;59701000;-22187000;;-8428000;-30624000;-6500000;0;-1008000;-8647000;17729000
ACAT;33956;USD;2013;FY;2014-03-31;2014-05-30;13275000;13598000;39404000;14189000;8663000;-18077000;;;;;44179000;-24377000;;;-24341000;-5317000;0;-28005000;-33475000;-13042000
ACAT;33956;USD;2012;FY;2013-03-31;2013-06-14;13155000;13761000;39745000;11999000;3515000;-22575000;;;;;32684000;-16276000;;;-16276000;;;-5389000;-4624000;11428000
ACAT;33956;USD;2011;FY;2012-03-31;2012-06-08;16721000;17458000;29941000;13045000;3043000;54700000;;;;;100729000;-14993000;;;-14792000;0;;-77321000;-75718000;9438000
ACAT;33956;USD;2010;FY;2011-03-31;2011-08-09;18232000;18539000;13007000;15816000;85000;-34031000;;;;;-5123000;-11761000;;;-11674000;;;-1588000;-946000;-17111000
APIC;34899;USD;2015;FY;2015-07-31;2015-10-14;10651000;;-50353000;2436000;3549000;7001000;;;;;-37367000;-966000;;0;-966000;;75710000;434000;76136000;37803000
APIC;34899;USD;2014;FY;2014-07-31;2015-06-11;3413000;;-60793000;2104000;4514000;3908000;;;;;-50267000;-2535000;;449000;-2086000;;59413000;456000;59869000;7516000
LABL;35331;USD;2017;FY;2018-03-31;2018-05-30;18421000;18583000;71897000;72922000;-26264000;-61648000;;;;;56907000;-59307000;;-1024644000;-1080331000;-4024000;1098907000;2572000;1060089000;42479000
LABL;35331;USD;2016;FY;2017-03-31;2016-05-31;16879000;17024000;61365000;47905000;-173000;-1887000;;;;;107210000;-44796000;;-28839000;-73635000;-3876000;-31467000;2742000;-33641000;-2480000
LABL;35331;USD;2015;FY;2016-03-31;2015-06-12;16750000;16952000;47829000;44473000;6634000;465000;;;;;99401000;-31787000;;-103245000;-135032000;-3351000;44997000;2706000;45200000;9660000
LABL;35331;USD;2014;FY;2015-03-31;2014-06-13;16623000;16877000;45716000;41369000;17231000;2659000;;;;;106975000;-28682000;;-31240000;-59922000;-3302000;-19895000;2019000;-37371000;8029000
LABL;35331;USD;2013;FY;2014-03-31;2013-06-14;16342000;16599000;30300000;36344000;11070000;-8001000;;;;;69713000;-27295000;;-15354000;-42649000;-3237000;283000;994000;-21189000;5723000
LABL;35331;USD;2012;FY;2013-03-31;2012-06-14;16145000;16332000;19700000;27174000;8177000;1426000;;;;;56477000;-18987000;;-275872000;-294891000;-2941000;255883000;1249000;233781000;-5138000
LABL;35331;USD;2011;FY;2012-03-31;2011-08-09;14662000;14903000;18411000;16494000;4824000;-2646000;;;;;37083000;-12292000;;-43092000;-55497000;-2612000;28195000;342000;23875000;7003000
LABL;35331;USD;2018;FY;2019-03-31;2019-05-28;20468000;20468000;-28667000;104092000;96141000;-12127000;;;;;159439000;-78632000;;;-78632000;-4106000;-72432000;1556000;-83335000;-9946000
ASNA;35533;USD;2018;FY;2018-07-31;2018-09-24;196000000;196000000;-39700000;355500000;-9700000;-32200000;;;;;273900000;-171700000;0;0;-171900000;;-187500000;400000;-188400000;-86400000
ASNA;35533;USD;2017;FY;2017-07-31;2017-09-25;194800000;194800000;-1067300000;384900000;973500000;52500000;;;;;343600000;-269700000;800000;0;-268900000;;-122500000;1600000;-120900000;-46200000
ASNA;35533;USD;2016;FY;2016-07-31;2016-09-19;192200000;192200000;-11900000;358700000;73300000;25300000;;;;;445400000;-366500000;25400000;-1494600000;-1835700000;;1570600000;-8000000;1521500000;131200000
ASNA;35533;USD;2015;FY;2015-07-31;2015-09-16;162600000;162600000;-236800000;218200000;286600000;163300000;;;;;431300000;-303600000;5500000;0;-298100000;;-56000000;8700000;-49500000;83700000
ASNA;35533;USD;2014;FY;2014-07-31;2014-09-23;160600000;165100000;133400000;193600000;-13800000;81700000;;;;;374700000;-435300000;-27400000;0;-462700000;;36400000;17900000;58500000;-29500000
ASNA;35533;USD;2013;FY;2013-07-31;2013-09-24;157300000;163300000;151300000;176000000;-18800000;133900000;;;;;450000000;-275000000;2800000;;-272200000;;-194700000;28700000;-155700000;22100000
ASNA;35533;USD;2012;FY;2012-07-31;2012-09-26;153500000;159400000;162200000;107400000;-29300000;83400000;;;;;361500000;-112200000;193800000;-683900000;-602300000;;177800000;-20500000;161600000;-79200000
ASNA;35533;USD;2011;FY;2011-07-31;2011-09-28;156100000;161800000;170500000;89800000;15900000;4600000;;;;;280800000;-102100000;-90000000;0;-197200000;;-29200000;-55800000;-80700000;2900000
ASNA;35533;USD;2010;FY;2010-07-31;2011-03-10;144400000;154000000;133400000;71600000;17500000;8900000;;;;;231400000;-65200000;62100000;;76400000;;-286700000;-22700000;-308000000;-200000
ASNA;35533;USD;2019;FY;2019-07-31;2019-10-10;197500000;197500000;-661400000;321100000;453800000;-92400000;;;;;21100000;-135500000;;;-135500000;;203200000;900000;203500000;89100000
ENS;35886;USD;2016;FY;2017-03-31;2016-05-31;44276713;45474130;158223000;53945000;68537000;-34675000;;;;;246030000;-49441000;;-12392000;-61833000;-30400000;-24600000;3000;-62542000;103022000
ENS;35886;USD;2017;FY;2018-03-31;2018-05-30;42612036;43119856;119833000;54317000;5280000;31618000;;;;;211048000;-69369000;;-2988000;-72357000;-29674000;-6786000;-120233000;-166888000;21789000
ABAX;36105;USD;2016;FY;2017-03-31;2016-05-31;22661000;22883000;31630000;6697000;11362000;-21633000;-4914000;74000;-443000;-16350000;28056000;-5185000;-14821000;-1131000;-20237000;-9970000;;-13040000;-26627000;-18692000
ABAX;36105;USD;2015;FY;2016-03-31;2015-06-01;22497000;22787000;27331000;8486000;-410000;989000;-1306000;-10135000;116000;12314000;36396000;-6052000;-3337000;-618000;10093000;-9006000;;31000;-10962000;33426000
ABAX;36105;USD;2014;FY;2015-03-31;2014-05-30;22270000;22575000;14185000;7427000;4734000;9226000;11171000;-2491000;-2018000;2564000;35572000;-5510000;-7848000;0;-13358000;0;;-1526000;-4045000;18679000
ABAX;36105;USD;2013;FY;2014-03-31;2013-06-14;21946000;22381000;27459000;6298000;4413000;-8973000;-9418000;-8081000;1746000;6780000;29197000;-5636000;3979000;0;-1657000;-22023000;;2800000;-18165000;9067000
ABAX;36105;USD;2012;FY;2013-03-31;2012-06-14;22084000;22462000;13091000;5090000;6780000;-2988000;-2827000;-1236000;232000;843000;21973000;-7663000;16142000;;8479000;0;;-26713000;-27915000;2372000
ABAX;36105;USD;2011;FY;2012-03-31;2011-08-09;22365000;22858000;14537000;4562000;4969000;-7699000;-4132000;-1846000;-3248000;1527000;16369000;-6926000;5918000;-2800000;-3808000;0;;1684000;2784000;15614000
ABAX;36105;USD;2017;FY;2018-03-31;2018-05-30;22672000;23135000;27177000;8006000;15042000;-6709000;-7470000;-8181000;4206000;4736000;43516000;-6046000;-67322000;-69000;-73437000;-13611000;;0;-16201000;-45055000
NGL;36205;USD;2017;FY;2018-03-31;2019-05-30;;;-226385000;225738000;176699000;-317762000;;;;;-57372000;-4983000;;309883000;277011000;;-308905000;-15817000;-201535000;14268000
NGL;36205;USD;2016;FY;2017-03-31;2019-05-30;;;94802000;194829000;-130018000;-494046000;;;;;-261671000;-117157000;;92442000;-26820000;;98342000;0;275414000;-16710000
NGL;36205;USD;2015;FY;2016-03-31;2019-08-06;;;-187097000;249211000;158960000;570130000;;;;;791204000;-644342000;;-234652000;-890425000;;479604000;-17680000;86094000;-13127000
NGL;36205;USD;2014;FY;2015-03-31;2019-08-06;;;50193000;210475000;-153770000;208579000;;;;;315477000;-365637000;;-960922000;-1360083000;;818588000;0;1075469000;30863000
NGL;36205;USD;2013;FY;2014-03-31;2019-08-06;;;48758000;132653000;62165000;8720000;;;;;252296000;-343504000;;-1268810000;-1624024000;;888152000;0;1370607000;-1121000
NGL;36205;USD;2012;FY;2013-03-31;2019-08-06;;;48190000;77513000;20692000;3152000;;;;;149547000;-72729000;;-490805000;-563534000;;509316000;;417716000;3729000
